Type,Summary,Day,Islanders
Entrances,"On Day 1, Anna-May, Haris, Kai, Lana, Olivia, Ron, Shaq, Tanya, Tanyel, Tom and Will entered the villa",1,Haris Namani
Entrances,"On Day 1, Anna-May, Haris, Kai, Lana, Olivia, Ron, Shaq, Tanya, Tanyel, Tom and Will entered the villa",1,Anna-May Robey
Entrances,"On Day 1, Anna-May, Haris, Kai, Lana, Olivia, Ron, Shaq, Tanya, Tanyel, Tom and Will entered the villa",1,Tanyel Revan
Entrances,"On Day 1, Anna-May, Haris, Kai, Lana, Olivia, Ron, Shaq, Tanya, Tanyel, Tom and Will entered the villa",1,Olivia Hawkins
Entrances,"On Day 1, Anna-May, Haris, Kai, Lana, Olivia, Ron, Shaq, Tanya, Tanyel, Tom and Will entered the villa",1,Will Young
Entrances,"On Day 1, Anna-May, Haris, Kai, Lana, Olivia, Ron, Shaq, Tanya, Tanyel, Tom and Will entered the villa",1,Tanya Manhenga
Entrances,"On Day 1, Anna-May, Haris, Kai, Lana, Olivia, Ron, Shaq, Tanya, Tanyel, Tom and Will entered the villa",1,Shaq Muhammad
Entrances,"On Day 1, Anna-May, Haris, Kai, Lana, Olivia, Ron, Shaq, Tanya, Tanyel, Tom and Will entered the villa",1,Tom Clare
Entrances,"On Day 1, Anna-May, Haris, Kai, Lana, Olivia, Ron, Shaq, Tanya, Tanyel, Tom and Will entered the villa",1,Ron Hall
Entrances,"On Day 1, Anna-May, Haris, Kai, Lana, Olivia, Ron, Shaq, Tanya, Tanyel, Tom and Will entered the villa",1,Lana Jenkins
Entrances,"On Day 1, Anna-May, Haris, Kai, Lana, Olivia, Ron, Shaq, Tanya, Tanyel, Tom and Will entered the villa",1,Kai Fagan
Entrances,"On Day 3, David and Zara entered the villa.",3,David Salako
Entrances,"On Day 3, David and Zara entered the villa.",3,Zara Lackenby-Brown
Coupling,"On Day 1, the Islanders coupled up for the first time. After all of the boys entered, the girls were asked to choose a boy to pair up with. Anna-May coupled up with Haris, Lana paired up with Ron, Olivia with Will, Tanya with Shaq, and Tanyel with Kai.",1,Haris Namani
Coupling,"On Day 1, the Islanders coupled up for the first time. After all of the boys entered, the girls were asked to choose a boy to pair up with. Anna-May coupled up with Haris, Lana paired up with Ron, Olivia with Will, Tanya with Shaq, and Tanyel with Kai.",1,Anna-May Robey
Coupling,"On Day 1, the Islanders coupled up for the first time. After all of the boys entered, the girls were asked to choose a boy to pair up with. Anna-May coupled up with Haris, Lana paired up with Ron, Olivia with Will, Tanya with Shaq, and Tanyel with Kai.",1,Tanyel Revan
Coupling,"On Day 1, the Islanders coupled up for the first time. After all of the boys entered, the girls were asked to choose a boy to pair up with. Anna-May coupled up with Haris, Lana paired up with Ron, Olivia with Will, Tanya with Shaq, and Tanyel with Kai.",1,Olivia Hawkins
Coupling,"On Day 1, the Islanders coupled up for the first time. After all of the boys entered, the girls were asked to choose a boy to pair up with. Anna-May coupled up with Haris, Lana paired up with Ron, Olivia with Will, Tanya with Shaq, and Tanyel with Kai.",1,Will Young
Coupling,"On Day 1, the Islanders coupled up for the first time. After all of the boys entered, the girls were asked to choose a boy to pair up with. Anna-May coupled up with Haris, Lana paired up with Ron, Olivia with Will, Tanya with Shaq, and Tanyel with Kai.",1,Tanya Manhenga
Coupling,"On Day 1, the Islanders coupled up for the first time. After all of the boys entered, the girls were asked to choose a boy to pair up with. Anna-May coupled up with Haris, Lana paired up with Ron, Olivia with Will, Tanya with Shaq, and Tanyel with Kai.",1,Shaq Muhammad
Coupling,"On Day 1, the Islanders coupled up for the first time. After all of the boys entered, the girls were asked to choose a boy to pair up with. Anna-May coupled up with Haris, Lana paired up with Ron, Olivia with Will, Tanya with Shaq, and Tanyel with Kai.",1,Ron Hall
Coupling,"On Day 1, the Islanders coupled up for the first time. After all of the boys entered, the girls were asked to choose a boy to pair up with. Anna-May coupled up with Haris, Lana paired up with Ron, Olivia with Will, Tanya with Shaq, and Tanyel with Kai.",1,Lana Jenkins
Coupling,"On Day 2, Tom, who entered after the coupling, had to steal one girl for himself. He chose Olivia, leaving Will single.",2,Olivia Hawkins
Coupling,"On Day 2, Tom, who entered after the coupling, had to steal one girl for himself. He chose Olivia, leaving Will single.",2,Will Young
Coupling,"On Day 2, Tom, who entered after the coupling, had to steal one girl for himself. He chose Olivia, leaving Will single.",2,Tom Clare
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Tanya and Shaq remained together, meanwhile Anna-May chose Kai, Zara coupled up with Tom, Olivia went with Haris, Tanyel picked Ron, and Lana opted with Will. As David was the only boy not picked he was dumped from the island.",5,David Salako
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Tanya and Shaq remained together, meanwhile Anna-May chose Kai, Zara coupled up with Tom, Olivia went with Haris, Tanyel picked Ron, and Lana opted with Will. As David was the only boy not picked he was dumped from the island.",5,Haris Namani
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Tanya and Shaq remained together, meanwhile Anna-May chose Kai, Zara coupled up with Tom, Olivia went with Haris, Tanyel picked Ron, and Lana opted with Will. As David was the only boy not picked he was dumped from the island.",5,Anna-May Robey
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Tanya and Shaq remained together, meanwhile Anna-May chose Kai, Zara coupled up with Tom, Olivia went with Haris, Tanyel picked Ron, and Lana opted with Will. As David was the only boy not picked he was dumped from the island.",5,Zara Lackenby-Brown
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Tanya and Shaq remained together, meanwhile Anna-May chose Kai, Zara coupled up with Tom, Olivia went with Haris, Tanyel picked Ron, and Lana opted with Will. As David was the only boy not picked he was dumped from the island.",5,Tanyel Revan
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Tanya and Shaq remained together, meanwhile Anna-May chose Kai, Zara coupled up with Tom, Olivia went with Haris, Tanyel picked Ron, and Lana opted with Will. As David was the only boy not picked he was dumped from the island.",5,Olivia Hawkins
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Tanya and Shaq remained together, meanwhile Anna-May chose Kai, Zara coupled up with Tom, Olivia went with Haris, Tanyel picked Ron, and Lana opted with Will. As David was the only boy not picked he was dumped from the island.",5,Tanya Manhenga
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Tanya and Shaq remained together, meanwhile Anna-May chose Kai, Zara coupled up with Tom, Olivia went with Haris, Tanyel picked Ron, and Lana opted with Will. As David was the only boy not picked he was dumped from the island.",5,Shaq Muhammad
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Tanya and Shaq remained together, meanwhile Anna-May chose Kai, Zara coupled up with Tom, Olivia went with Haris, Tanyel picked Ron, and Lana opted with Will. As David was the only boy not picked he was dumped from the island.",5,Tom Clare
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Tanya and Shaq remained together, meanwhile Anna-May chose Kai, Zara coupled up with Tom, Olivia went with Haris, Tanyel picked Ron, and Lana opted with Will. As David was the only boy not picked he was dumped from the island.",5,Ron Hall
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Tanya and Shaq remained together, meanwhile Anna-May chose Kai, Zara coupled up with Tom, Olivia went with Haris, Tanyel picked Ron, and Lana opted with Will. As David was the only boy not picked he was dumped from the island.",5,Lana Jenkins
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Tanya and Shaq remained together, meanwhile Anna-May chose Kai, Zara coupled up with Tom, Olivia went with Haris, Tanyel picked Ron, and Lana opted with Will. As David was the only boy not picked he was dumped from the island.",5,Kai Fagan
Challenges,"On Day 2, the girls and the boys competed against each other in ""Dirty Laundry"", in which they had to guess which islander a fact was about. To make their guess they had kiss the islander they believe is the answer.",2,Kai Fagan
Challenges,"On Day 2, the girls and the boys competed against each other in ""Dirty Laundry"", in which they had to guess which islander a fact was about. To make their guess they had kiss the islander they believe is the answer.",2,Lana Jenkins
Challenges,"On Day 2, the girls and the boys competed against each other in ""Dirty Laundry"", in which they had to guess which islander a fact was about. To make their guess they had kiss the islander they believe is the answer.",2,Ron Hall
Challenges,"On Day 2, the girls and the boys competed against each other in ""Dirty Laundry"", in which they had to guess which islander a fact was about. To make their guess they had kiss the islander they believe is the answer.",2,Tom Clare
Challenges,"On Day 2, the girls and the boys competed against each other in ""Dirty Laundry"", in which they had to guess which islander a fact was about. To make their guess they had kiss the islander they believe is the answer.",2,Shaq Muhammad
Challenges,"On Day 2, the girls and the boys competed against each other in ""Dirty Laundry"", in which they had to guess which islander a fact was about. To make their guess they had kiss the islander they believe is the answer.",2,Tanya Manhenga
Challenges,"On Day 2, the girls and the boys competed against each other in ""Dirty Laundry"", in which they had to guess which islander a fact was about. To make their guess they had kiss the islander they believe is the answer.",2,Will Young
Challenges,"On Day 2, the girls and the boys competed against each other in ""Dirty Laundry"", in which they had to guess which islander a fact was about. To make their guess they had kiss the islander they believe is the answer.",2,Olivia Hawkins
Challenges,"On Day 2, the girls and the boys competed against each other in ""Dirty Laundry"", in which they had to guess which islander a fact was about. To make their guess they had kiss the islander they believe is the answer.",2,Tanyel Revan
Challenges,"On Day 2, the girls and the boys competed against each other in ""Dirty Laundry"", in which they had to guess which islander a fact was about. To make their guess they had kiss the islander they believe is the answer.",2,Anna-May Robey
Challenges,"On Day 2, the girls and the boys competed against each other in ""Dirty Laundry"", in which they had to guess which islander a fact was about. To make their guess they had kiss the islander they believe is the answer.",2,Haris Namani
Dates,"On Day 3, new islanders David and Zara each picked an islander to take on a date. David chose Tanya, whilst Zara dated Ron.",3,David Salako
Dates,"On Day 3, new islanders David and Zara each picked an islander to take on a date. David chose Tanya, whilst Zara dated Ron.",3,Zara Lackenby-Brown
Dates,"On Day 3, new islanders David and Zara each picked an islander to take on a date. David chose Tanya, whilst Zara dated Ron.",3,Tanya Manhenga
Exits,"On Day 5, David was dumped from the island after failing to couple up.",5,David Salako
Entrances,"On Day 7, Aaron and Jessie entered the villa.",7,Aaron Waters
Entrances,"On Day 7, Aaron and Jessie entered the villa.",7,Jessie Wynter
Entrances,"On Day 10, Ellie and Spencer entered the villa.",10,Spencer Wilks
Entrances,"On Day 10, Ellie and Spencer entered the villa.",10,Ellie Spence
Coupling,"On Day 10, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Ellie and Spencer were given first choice. Ellie picked Ron, whilst Spencer coupled up with Olivia. As well as this, Shaq and Tanya, and Tom and Zara remained together, meanwhile Kai chose Tanyel, Will picked Jessie, and Aaron went with Lana.",10,Spencer Wilks
Coupling,"On Day 10, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Ellie and Spencer were given first choice. Ellie picked Ron, whilst Spencer coupled up with Olivia. As well as this, Shaq and Tanya, and Tom and Zara remained together, meanwhile Kai chose Tanyel, Will picked Jessie, and Aaron went with Lana.",10,Ellie Spence
Coupling,"On Day 10, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Ellie and Spencer were given first choice. Ellie picked Ron, whilst Spencer coupled up with Olivia. As well as this, Shaq and Tanya, and Tom and Zara remained together, meanwhile Kai chose Tanyel, Will picked Jessie, and Aaron went with Lana.",10,Zara Lackenby-Brown
Coupling,"On Day 10, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Ellie and Spencer were given first choice. Ellie picked Ron, whilst Spencer coupled up with Olivia. As well as this, Shaq and Tanya, and Tom and Zara remained together, meanwhile Kai chose Tanyel, Will picked Jessie, and Aaron went with Lana.",10,Aaron Waters
Coupling,"On Day 10, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Ellie and Spencer were given first choice. Ellie picked Ron, whilst Spencer coupled up with Olivia. As well as this, Shaq and Tanya, and Tom and Zara remained together, meanwhile Kai chose Tanyel, Will picked Jessie, and Aaron went with Lana.",10,Tanyel Revan
Coupling,"On Day 10, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Ellie and Spencer were given first choice. Ellie picked Ron, whilst Spencer coupled up with Olivia. As well as this, Shaq and Tanya, and Tom and Zara remained together, meanwhile Kai chose Tanyel, Will picked Jessie, and Aaron went with Lana.",10,Will Young
Coupling,"On Day 10, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Ellie and Spencer were given first choice. Ellie picked Ron, whilst Spencer coupled up with Olivia. As well as this, Shaq and Tanya, and Tom and Zara remained together, meanwhile Kai chose Tanyel, Will picked Jessie, and Aaron went with Lana.",10,Jessie Wynter
Coupling,"On Day 10, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Ellie and Spencer were given first choice. Ellie picked Ron, whilst Spencer coupled up with Olivia. As well as this, Shaq and Tanya, and Tom and Zara remained together, meanwhile Kai chose Tanyel, Will picked Jessie, and Aaron went with Lana.",10,Tanya Manhenga
Coupling,"On Day 10, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Ellie and Spencer were given first choice. Ellie picked Ron, whilst Spencer coupled up with Olivia. As well as this, Shaq and Tanya, and Tom and Zara remained together, meanwhile Kai chose Tanyel, Will picked Jessie, and Aaron went with Lana.",10,Shaq Muhammad
Coupling,"On Day 10, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Ellie and Spencer were given first choice. Ellie picked Ron, whilst Spencer coupled up with Olivia. As well as this, Shaq and Tanya, and Tom and Zara remained together, meanwhile Kai chose Tanyel, Will picked Jessie, and Aaron went with Lana.",10,Tom Clare
Coupling,"On Day 10, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Ellie and Spencer were given first choice. Ellie picked Ron, whilst Spencer coupled up with Olivia. As well as this, Shaq and Tanya, and Tom and Zara remained together, meanwhile Kai chose Tanyel, Will picked Jessie, and Aaron went with Lana.",10,Ron Hall
Coupling,"On Day 10, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Ellie and Spencer were given first choice. Ellie picked Ron, whilst Spencer coupled up with Olivia. As well as this, Shaq and Tanya, and Tom and Zara remained together, meanwhile Kai chose Tanyel, Will picked Jessie, and Aaron went with Lana.",10,Kai Fagan
Challenges,"On Day 9, the girls competed against each other in ""Space Raunch"", in which the boys picked which girl was the most ""out of this world"". Zara won the challenge.",9,Zara Lackenby-Brown
Dates,"On Day 8, new islanders Aaron and Jessie each picked two islanders to take on a date. Aaron chose Olivia and Lana, whilst Jessie chose Will and Tom.",8,Aaron Waters
Dates,"On Day 8, new islanders Aaron and Jessie each picked two islanders to take on a date. Aaron chose Olivia and Lana, whilst Jessie chose Will and Tom.",8,Jessie Wynter
Dates,"On Day 8, new islanders Aaron and Jessie each picked two islanders to take on a date. Aaron chose Olivia and Lana, whilst Jessie chose Will and Tom.",8,Olivia Hawkins
Dates,"On Day 8, new islanders Aaron and Jessie each picked two islanders to take on a date. Aaron chose Olivia and Lana, whilst Jessie chose Will and Tom.",8,Will Young
Dates,"On Day 8, new islanders Aaron and Jessie each picked two islanders to take on a date. Aaron chose Olivia and Lana, whilst Jessie chose Will and Tom.",8,Lana Jenkins
Dates,"On Day 12, new islanders Ellie and Spencer each went on a date with their new partners, Ron and Olivia.",12,Spencer Wilks
Dates,"On Day 12, new islanders Ellie and Spencer each went on a date with their new partners, Ron and Olivia.",12,Ellie Spence
Dates,"On Day 12, new islanders Ellie and Spencer each went on a date with their new partners, Ron and Olivia.",12,Ron Hall
Exits,"On Day 9, after receiving the fewest public votes, Anna-May, Tanya and Tanyel, and Haris, Kai and Tom were in danger of being dumped. New islanders Aaron and Jessie then had to choose one boy and one girl to dump from the island. They chose Anna-May and Haris.",9,Anna-May Robey
Exits,"On Day 9, after receiving the fewest public votes, Anna-May, Tanya and Tanyel, and Haris, Kai and Tom were in danger of being dumped. New islanders Aaron and Jessie then had to choose one boy and one girl to dump from the island. They chose Anna-May and Haris.",9,Haris Namani
Exits,"On Day 9, after receiving the fewest public votes, Anna-May, Tanya and Tanyel, and Haris, Kai and Tom were in danger of being dumped. New islanders Aaron and Jessie then had to choose one boy and one girl to dump from the island. They chose Anna-May and Haris.",9,Aaron Waters
Exits,"On Day 9, after receiving the fewest public votes, Anna-May, Tanya and Tanyel, and Haris, Kai and Tom were in danger of being dumped. New islanders Aaron and Jessie then had to choose one boy and one girl to dump from the island. They chose Anna-May and Haris.",9,Tanyel Revan
Exits,"On Day 9, after receiving the fewest public votes, Anna-May, Tanya and Tanyel, and Haris, Kai and Tom were in danger of being dumped. New islanders Aaron and Jessie then had to choose one boy and one girl to dump from the island. They chose Anna-May and Haris.",9,Jessie Wynter
Exits,"On Day 9, after receiving the fewest public votes, Anna-May, Tanya and Tanyel, and Haris, Kai and Tom were in danger of being dumped. New islanders Aaron and Jessie then had to choose one boy and one girl to dump from the island. They chose Anna-May and Haris.",9,Tanya Manhenga
Exits,"On Day 9, after receiving the fewest public votes, Anna-May, Tanya and Tanyel, and Haris, Kai and Tom were in danger of being dumped. New islanders Aaron and Jessie then had to choose one boy and one girl to dump from the island. They chose Anna-May and Haris.",9,Tom Clare
Exits,"On Day 9, after receiving the fewest public votes, Anna-May, Tanya and Tanyel, and Haris, Kai and Tom were in danger of being dumped. New islanders Aaron and Jessie then had to choose one boy and one girl to dump from the island. They chose Anna-May and Haris.",9,Kai Fagan
Entrances,"On Day 14, Samie entered the villa.",14,Samie Elishi
Entrances,"On Day 17, Casey and Jordan entered the villa.",17,Jordan Odofin
Entrances,"On Day 17, Casey and Jordan entered the villa.",17,Casey O'Gorman
Coupling,"On Day 16, the islanders recoupled again with the boys picking which girl they'd like to be with. Aaron and Lana, Shaq and Tanya, Spencer and Olivia, and Will and Jessie all remained together, meanwhile Kai chose Samie, Ron coupled up with Tanyel, and Tom went with Ellie. As Zara was the only girl not picked she was dumped from the island.",16,Zara Lackenby-Brown
