Islander,,
Abi Moores,,
Amber Wise,,
Benjamin Noel,,
Catherine Agbaje,Cath,Cat
Danielle Mazhindu,,
Ella Thomas,,
Elom Ahlijah-Wilson,,
"Gabrielle ""Gabby"" Jeffery",Gabby,
Jess Harding,,
Kady McDermott,,
Kodie Murphy,,
Leah Taylor,,
Lochan Nowacki,,
Mitchel Taylor,Mitch,
Molly Marsh,,
Montel McKenzie,,
"Ousman ""Ouzy"" See",Ouzy,
Sammy Root,,
Scott van-der-Sluis,,
Tink Reading,,
Tyrique Hyde,Ty,Toxique
Whitney Adebayo,Whit,
Zachariah Noble,Zach,Zack
Zachary Ashford,,
"Malissa ""Mal"" Nichol",Mal,
Mehdi Edno,Medhi,
André Furtado,Andre,
Charlotte Sumner,,
Ruchee Gurung,Ruch,
George Fensom,,
