Islander,Age,Hometown,ShowEntryDay,ShowLeaveDay,OnLeaveStatus,MainVillaEntryDay
Kai Fagan,24,Manchester,1,58,Winner,1
Sanam Harrinanan,24,Bedford,29,58,Winner,32
Lana Jenkins,25,Luton,1,58,Runner-up,1
Ron Hall,25,Essex,1,58,Runner-up,1
Samie Elishi,23,London,14,58,Third,14
Tom Clare,23,Barnsley,1,58,Third,1
Shaq Muhammad,24,London,1,58,Fourth,1
Tanya Manhenga,23,Liverpool,1,58,Fourth,1
Jessie Wynter,26,Hobart,7,56,Dumped,7
Will Young,23,Aylesbury,1,56,Dumped,1
Casey O'Gorman,26,Tring,17,51,Dumped,17
Rosie Seabrook,24,Buckinghamshire,39,51,Dumped,39
Claudia Fogarty,28,Blackburn,23,45,Dumped,23
Keanan Brand,24,Wigan,39,45,Dumped,39
Maxwell Samuda,23,London,28,45,Dumped,32
Olivia Hawkins,27,Brighton,1,45,Dumped,1
Martin Akinola,27,Dublin,28,40,Dumped,32
Bayley Mummery,25,Surrey,28,32,Dumped,32
Cynthia Otseh-Taiwo,25,London,29,32,Dumped,32
Frankie Davey,22,Ipswich,28,32,Dumped,32
Kain Reed,21,Gateshead,28,32,Dumped,32
Layla Al-Momani,28,London,29,32,Dumped,32
Lydia Karakyriakou,22,Glasgow,29,32,Dumped,32
Lynda Flix,22,Salford,29,32,Dumped,32
Ryan Weekley,22,Nottingham,28,32,Dumped,32
Sammy James,27,Leicester,29,32,Dumped,32
Ellie Spence,25,Norwich,10,26,Dumped,10
Jordan Odofin,28,London,17,26,Dumped,17
Tanyel Revan,26,London,1,24,Dumped,1
Aaron Waters,25,Melbourne,7,19,Dumped,7
Spencer Wilks,24,Bournemouth,10,19,Dumped,10
Zara Lackenby-Brown,25,London,3,16,Dumped,3
Anna-May Robey,20,Swansea,1,9,Dumped,1
Haris Namani,21,Doncaster,1,9,Dumped,1
David Salako,24,Little Oakley,3,5,Dumped,3
